2025,10,1992,84,107
2024,23,2166,106,134
2023,19,2136,104,171
2022,15,2198,144,172
2021,16,1826,146,117
2020,11,1548,82,89
2019,8,2211,148,161
2018,14,2406,199,260
2017,12,2652,231,334
2016,13,2667,288,277
2015,10,2445,302,215
2014,11,2298,302,212
2013,24,2556,393,236
2012,19,2665,316,184
2011,12,2916,379,196
2010,17,2691,336,238
2009,11,3135,450,215
2008,16,3402,396,123
2007,15,3422,374,98
2006,14,3510,427,116
2005,28,3496,660,150
2004,27,3670,507,126
2003,36,3383,358,84
2002,20,3122,308,124
2001,17,3599,407,127
