2025,50,9618,996,2012
2024,53,9187,1323,2029
2023,44,9512,1623,2206
2022,39,9092,1492,1620
2021,37,6873,1212,1348
2020,50,4895,1372,1133
2019,47,6888,1928,1680
2018,50,7808,2508,2262
2017,56,7714,3809,2339
2016,62,7526,3637,2574
2015,53,7160,2980,3543
2014,85,7708,2606,3532
2013,59,7840,2081,3598
2012,65,7855,2240,3134
2011,51,7416,2019,2374
2010,59,7565,1809,2391
2009,63,7676,2069,1798
2008,69,6344,1292,1387
2007,54,7774,1356,1409
2006,83,7556,1472,1501
2005,101,8690,2006,1776
2004,107,8978,1901,1826
2003,121,9520,2049,1637
2002,133,7880,1982,1621
2001,120,7672,2004,1563
