2025,36,4733,258,415
2024,30,4315,321,468
2023,29,4680,372,391
2022,22,4885,464,487
2021,18,3753,476,455
2020,27,3070,450,457
2019,16,4665,713,516
2018,23,5241,777,675
2017,26,5255,1180,774
2016,21,5350,1571,1012
2015,27,5346,1294,926
2014,34,4858,1386,1010
2013,35,5571,1106,866
2012,44,6267,1076,815
2011,35,5510,1072,641
2010,45,5040,1035,686
2009,28,5792,1309,646
2008,34,6140,1161,404
2007,23,5645,991,414
2006,31,5633,978,415
2005,41,7322,1128,562
2004,49,7662,1239,555
2003,41,7548,1534,483
2002,47,7803,1406,592
2001,40,9340,1247,724
