2025,29,7920,1230,1515
2024,32,9262,1808,1666
2023,32,9733,2164,1772
2022,51,9452,2592,2162
2021,53,7558,2536,2115
2020,46,6176,1922,1506
2019,40,8823,2977,2264
2018,46,10201,3240,2480
2017,39,9052,3715,2218
2016,51,10339,3730,2817
2015,46,10740,3500,2833
2014,46,13033,4288,4288
2013,65,12368,3980,4297
2012,79,11551,3638,3749
2011,44,11460,3727,3805
2010,43,10855,3262,2969
2009,40,11179,3499,2798
2008,36,10198,2861,1850
2007,45,12377,3026,1785
2006,44,12913,3308,2123
2005,54,12792,3444,2122
2004,56,12038,3255,2226
2003,73,12084,3141,1718
2002,140,9552,2786,1378
2001,176,9957,3428,1225
