2025,11,5593,1509,1081
2024,19,5657,1731,1320
2023,12,6616,2383,1489
2022,19,5701,2403,1166
2021,17,5222,1757,911
2020,11,4403,1775,772
2019,20,5648,2535,1171
2018,16,5494,3024,1532
2017,13,5866,3515,1721
2016,19,6158,4075,1689
2015,11,6454,4317,1720
2014,17,7063,5004,2088
2013,30,8915,3927,1541
2012,35,9269,3721,1659
2011,26,8551,4342,2014
2010,36,7106,4047,2330
2009,33,7386,4021,2601
2008,16,6483,3187,2282
2007,27,8571,4265,2555
2006,46,8385,4705,2196
2005,46,7975,4485,2113
2004,56,8655,4906,2273
2003,69,8369,4957,2637
2002,99,7232,4222,2009
2001,103,5585,2986,1819
