2025,15,2912,220,392
2024,14,3172,296,509
2023,18,3302,370,540
2022,31,3860,435,651
2021,25,2691,435,402
2020,19,2170,400,299
2019,18,3229,416,355
2018,17,3033,502,470
2017,22,3207,865,565
2016,27,3531,846,724
2015,22,3183,866,799
2014,22,2978,1051,624
2013,20,3351,859,549
2012,29,3163,736,502
2011,16,3065,727,470
2010,9,3215,666,395
2009,15,3182,632,397
2008,15,2897,409,365
2007,15,2993,340,244
2006,15,2860,440,380
2005,19,3423,523,387
2004,18,3198,363,310
2003,17,3225,390,328
2002,22,2729,361,315
2001,22,3016,491,344
