2025,9.39,1235.08,67.33,108.29,116.80,13.85,130.66
2024,7.87,1131.96,84.21,122.77,134.01,16.39,150.40
2023,7.61,1227.71,97.59,102.57,111.63,17.12,128.75
2022,5.79,1284.80,122.04,128.09,146.19,16.73,162.91
2021,4.92,1026.75,130.22,124.48,141.32,12.51,153.83
2020,7.34,835.03,122.40,124.30,141.65,15.09,156.74
2019,4.38,1277.52,195.26,141.31,159.55,19.81,179.36
2018,6.34,1445.11,214.24,186.12,223.21,17.86,241.07
2017,7.25,1465.34,329.04,215.83,264.01,18.62,282.63
2016,5.89,1499.57,440.34,283.66,350.72,26.86,377.59
2015,7.61,1506.22,364.58,260.90,323.96,27.72,351.68
2014,9.64,1377.55,393.02,286.40,368.19,23.67,391.86
2013,9.99,1589.93,315.65,247.15,332.52,19.08,351.60
2012,12.64,1800.11,309.07,234.10,328.54,23.78,352.32
2011,10.12,1592.89,309.90,185.31,269.37,25.28,294.65
2010,13.09,1466.42,301.14,199.60,320.16,16.70,336.85
2009,8.21,1697.91,383.73,189.37,308.40,35.09,343.49
2008,10.04,1813.09,342.83,119.30,209.47,21.75,231.22
2007,6.84,1679.63,294.87,123.18,228.80,27.90,256.70
2006,9.29,1688.92,293.23,124.43,258.24,22.31,280.55
2005,12.40,2213.76,341.04,169.92,375.76,34.29,410.06
2004,14.95,2337.93,378.06,169.35,397.79,29.24,427.02
2003,12.63,2324.50,472.41,148.75,336.39,48.62,385.01
2002,14.60,2424.72,436.90,183.96,436.61,47.42,484.04
2001,12.55,2929.71,391.15,227.10,573.59,47.16,620.75
