2025,5.79,1124.87,84.98,151.43,172.33,12.24,184.57
2024,5.45,1235.48,115.29,198.25,218.53,27.01,245.54
2023,7.01,1286.11,144.11,210.33,226.47,39.97,266.44
2022,12.01,1495.03,168.48,252.14,266.15,61.38,327.53
2021,10.24,1102.71,178.25,164.73,166.87,38.27,205.15
2020,7.71,879.99,162.21,121.25,128.18,26.98,155.16
2019,7.38,1323.49,170.51,145.51,166.91,20.60,187.51
2018,7.04,1256.63,207.99,194.73,229.17,27.89,257.06
2017,9.28,1353.40,365.04,238.44,291.50,27.68,319.18
2016,11.48,1501.94,359.85,307.96,384.91,36.05,420.96
2015,9.43,1364.64,371.28,342.55,446.24,30.43,476.67
2014,9.53,1289.79,455.20,270.26,354.11,30.85,384.95
2013,8.75,1466.16,375.84,240.20,328.30,25.80,354.10
2012,12.82,1398.05,325.31,221.88,319.09,22.45,341.54
2011,7.14,1368.57,324.62,209.86,320.37,20.29,340.66
2010,4.06,1450.21,300.42,178.18,285.93,20.98,306.90
2009,6.85,1453.74,288.74,181.37,308.82,24.34,333.16
2008,6.94,1341.12,189.34,168.97,301.44,26.99,328.43
2007,7.04,1404.05,159.50,114.46,208.36,27.01,235.37
2006,7.13,1359.74,209.19,180.66,353.92,43.98,397.89
2005,9.16,1650.08,252.12,186.56,398.81,37.18,435.98
2004,8.80,1563.70,177.49,151.58,348.84,24.06,372.90
2003,8.43,1600.13,193.50,162.74,381.64,38.42,420.06
2002,11.08,1374.14,181.78,158.61,376.07,50.05,426.12
2001,11.24,1541.58,250.97,175.83,441.64,53.23,494.86
